yearID,teamID,lgID,playerID,salary
2015,ARI,NL,goldspa01,3100000
2015,ATL,NL,simmoan01,3000000
2015,BAL,AL,davisch02,12000000
2015,BOS,AL,bogaexa01,543000
2015,CHW,AL,garciav01,523000
2015,CHC,NL,rizzoan01,5000000
2015,CIN,NL,vottojo01,14000000
2015,CLE,AL,kipnija01,4166666
2015,COL,NL,arenano01,512500
2015,DET,AL,casteni01,525000
2015,HOU,AL,altuvjo01,2500000
2015,KCR,AL,escobal02,3000000
2015,LAA,AL,troutmi01,6083000
2015,LAD,NL,rolliji01,11000000
2015,MIA,NL,yelicch01,570000
2015,MIL,NL,segurje01,534000
2015,MIN,AL,doziebr01,2000000
2015,NYM,NL,dudalu01,4200000
2015,OAK,AL,vogtst01,512500
2015,PHI,NL,howarry01,25000000
2015,PIT,NL,cervefr01,987500
2015,SDP,NL,kempma01,21250000
2015,SEA,AL,canoro01,24000000
2015,SFN,NL,poseybu01,16500000
2015,STL,NL,carpema01,3750000
2015,TBR,AL,longoev01,11000000
2015,TEX,AL,beltrad01,16000000
2015,TOR,AL,bautijo02,14000000
2015,WSN,NL,harpebr03,2500000
